period,sku,shipped_qty,promo_rub,order_value_rub_sum,returns_qty,returns_rub
2023-09,1087599272,0,0.0,0.0,1,0.0
2024-10,1064626945,0,0.0,0.0,1,10807.0
2024-11,1359397672,0,0.0,0.0,1,6200.0
2024-11,985186122,0,0.0,0.0,1,17019.0
2024-12,1007969678,0,0.0,0.0,1,13016.0
2024-12,1083286259,0,0.0,0.0,2,22360.0
2024-12,1090789726,0,0.0,0.0,2,11250.0
2024-12,1091369491,0,0.0,0.0,1,6500.0
2024-12,1233015711,0,0.0,0.0,1,6400.0
2024-12,1338292056,0,0.0,0.0,1,24000.0
2024-12,1359397672,0,0.0,0.0,1,6200.0
2024-12,1606602149,0,0.0,0.0,1,19900.0
2024-12,955086816,0,0.0,0.0,1,18000.0
2024-12,967621232,0,0.0,0.0,1,33000.0
2024-12,985032210,0,0.0,0.0,1,19700.0
2024-12,985122721,0,0.0,0.0,1,19170.0
2024-12,985165859,0,0.0,0.0,1,20500.0
2024-12,985189781,0,0.0,0.0,1,15480.0
2024-12,985312532,0,0.0,0.0,1,27648.0
2025-01,1007969678,0,0.0,0.0,3,41100.0
2025-01,1064626945,1,34.0,11512.0,1,11512.0
2025-01,1064989520,1,16.0,14714.0,1,13978.0
2025-01,1079018891,4,145.0,44030.0,1,11036.0
2025-01,1083286259,0,0.0,0.0,9,102688.0
2025-01,1083302078,1,32.0,17100.0,0,0.0
2025-01,1087599272,3,88.0,18321.0,0,0.0
2025-01,1090789726,7,204.0,39720.0,6,34571.0
2025-01,1091369491,5,142.0,28958.0,6,34519.0
2025-01,1159876183,1,28.0,6300.0,3,20300.0
2025-01,1232870909,2,61.0,10562.0,0,0.0
2025-01,1232915937,5,130.0,29560.0,2,11145.0
2025-01,1232966550,1,23.0,6184.0,0,0.0
2025-01,1233002951,5,163.0,29440.0,0,0.0
2025-01,1233012563,1,27.0,6400.0,1,6400.0
2025-01,1233015711,17,551.0,100088.0,0,0.0
2025-01,1255409796,18,470.0,115635.0,2,12614.0
2025-01,1266364538,2,67.0,29640.0,2,27378.0
2025-01,1279919917,0,0.0,0.0,1,14400.0
2025-01,1338292056,3,91.0,69600.0,4,87411.0
2025-01,1351965762,6,162.0,90000.0,0,0.0
2025-01,1359397672,13,394.0,75640.0,1,5580.0
2025-01,1403051903,2,50.0,44000.0,0,0.0
2025-01,1418098260,2,73.0,51912.0,0,0.0
2025-01,1442316061,1,37.0,11323.0,0,0.0
2025-01,1577323801,12,371.0,144394.0,1,11958.0
2025-01,1606602149,5,146.0,92754.0,1,17910.0
2025-01,1619464475,2,78.0,79200.0,0,0.0
2025-01,1720555710,2,70.0,11124.0,1,5612.0
2025-01,1792620070,2,49.0,17650.0,1,9060.0
2025-01,955086816,7,179.0,132941.0,5,95040.0
2025-01,965922030,6,138.0,80117.0,0,0.0
2025-01,967621232,3,69.0,99000.0,6,191019.0
2025-01,975934905,2,46.0,83992.0,0,0.0
2025-01,985032210,0,0.0,0.0,1,17730.0
2025-01,985122721,5,104.0,100110.0,2,39900.0
2025-01,985165859,7,182.0,141450.0,5,100450.0
2025-01,985186122,2,57.0,37419.0,1,18521.0
2025-01,985189781,2,75.0,27998.0,4,57124.0
2025-01,985312532,3,86.0,104071.0,4,123678.0
2025-01,985384136,0,0.0,0.0,1,32500.0
2025-01,986638247,1,31.0,40200.0,0,0.0
2025-01,986670006,6,207.0,217950.0,0,0.0
2025-01,986693525,4,131.0,136500.0,0,0.0
2025-01,986771159,1,33.0,16200.0,0,0.0
2025-01,999667986,2,76.0,27646.0,1,13823.0
2025-02,1007969678,3,99.0,42000.0,2,26030.0
2025-02,1064626945,5,146.0,61014.0,1,12326.0
2025-02,1064989520,1,20.0,13641.0,0,0.0
2025-02,1078876750,1,28.0,15000.0,0,0.0
2025-02,1078977856,1,33.0,14000.0,0,0.0
2025-02,1078999549,1,28.0,14503.0,0,0.0
2025-02,1079018891,8,278.0,90852.0,1,11136.0
2025-02,1083286259,0,0.0,0.0,6,67400.0
2025-02,1083302078,4,128.0,67769.0,0,0.0
2025-02,1087599272,0,0.0,0.0,1,8756.0
2025-02,1090789726,2,62.0,11024.0,4,23039.0
2025-02,1091369491,1,25.0,6142.0,3,18687.0
2025-02,1147625400,5,171.0,28173.0,0,0.0
2025-02,1159876183,0,0.0,0.0,3,19530.0
2025-02,1232870909,3,93.0,16536.0,1,4847.0
2025-02,1232919540,17,566.0,90767.0,1,5374.0
2025-02,1233002951,2,62.0,12096.0,0,0.0
2025-02,1233015711,8,248.0,48284.0,0,0.0
2025-02,1255409796,3,59.0,21171.0,1,6120.0
2025-02,1266364538,4,160.0,53802.0,1,13541.0
2025-02,1325921922,2,31.0,45838.0,0,0.0
2025-02,1338292056,0,0.0,0.0,4,86793.0
2025-02,1351965762,5,127.0,76073.0,0,0.0
2025-02,1359397672,2,32.0,14000.0,2,14000.0
2025-02,1363993554,1,5.0,9196.0,0,0.0
2025-02,1388975716,1,33.0,7495.0,0,0.0
2025-02,1418098260,1,35.0,26440.0,0,0.0
2025-02,1442316061,1,34.0,11919.0,0,0.0
2025-02,1577323801,2,60.0,24336.0,4,48462.0
2025-02,1606602149,6,174.0,112800.0,0,0.0
2025-02,1619227946,2,90.0,72944.0,0,0.0
2025-02,1720555710,6,210.0,33672.0,0,0.0
2025-02,1824444471,1,35.0,8000.0,0,0.0
2025-02,955086816,6,155.0,114133.0,1,18711.0
2025-02,965922030,2,51.0,25889.0,1,16592.0
2025-02,967621232,2,42.0,68000.0,1,34000.0
2025-02,984997674,1,26.0,18189.0,0,0.0
2025-02,985032210,6,164.0,111671.0,0,0.0
2025-02,985122721,4,89.0,79104.0,2,40156.0
2025-02,985165859,9,256.0,175008.0,3,58116.0
2025-02,985189781,11,407.0,156024.0,2,30984.0
2025-02,985312532,4,136.0,128414.0,1,36416.0
2025-02,985384136,1,33.0,32500.0,0,0.0
2025-02,986670006,1,32.0,37905.0,1,37905.0
2025-02,986693525,2,54.0,73652.0,0,0.0
2025-02,999667986,4,167.0,52235.0,0,0.0
2025-03,1007969678,6,300.0,84000.0,1,14000.0
2025-03,1064626945,4,188.0,60000.0,1,15000.0
2025-03,1064989520,1,48.0,14317.0,2,30749.0
2025-03,1078958027,2,66.0,28000.0,0,0.0
2025-03,1078999549,4,132.0,55637.0,0,0.0
2025-03,1079018891,2,47.0,30500.0,0,0.0
2025-03,1083286259,0,0.0,0.0,1,14299.0
2025-03,1083302078,1,14.0,21500.0,0,0.0
2025-03,1087599272,1,55.0,6744.0,0,0.0
2025-03,1089561093,1,52.0,6600.0,0,0.0
2025-03,1090644193,1,19.0,6500.0,0,0.0
2025-03,1090789726,0,0.0,0.0,2,13000.0
2025-03,1091369491,0,0.0,0.0,1,6786.0
2025-03,1147625400,2,77.0,12697.0,0,0.0
2025-03,1232919540,2,33.0,13350.0,0,0.0
2025-03,1232966550,1,23.0,6184.0,0,0.0
2025-03,1232993847,3,129.0,18522.0,0,0.0
2025-03,1233012563,2,62.0,12096.0,0,0.0
2025-03,1233015711,0,0.0,0.0,1,6048.0
2025-03,1266364538,6,314.0,93565.0,0,0.0
2025-03,1325921922,3,87.0,81180.0,0,0.0
2025-03,1338292056,3,120.0,78900.0,2,52600.0
2025-03,1351965762,3,112.0,48297.0,0,0.0
2025-03,1359397672,1,51.0,6699.0,0,0.0
2025-03,1363993554,6,239.0,50339.0,0,0.0
2025-03,1388975716,4,162.0,34391.0,0,0.0
2025-03,1418098260,1,42.0,26440.0,0,0.0
2025-03,1606602149,6,291.0,124196.0,1,18800.0
2025-03,1619464475,1,28.0,47000.0,0,0.0
2025-03,1720555710,3,162.0,21000.0,0,0.0
2025-03,1756592423,1,51.0,24000.0,0,0.0
2025-03,1756622317,1,30.0,38772.0,0,0.0
2025-03,1824444471,1,33.0,8269.0,0,0.0
2025-03,1918780052,1,53.0,19068.0,0,0.0
2025-03,955086816,4,188.0,82000.0,6,122400.0
2025-03,965922030,1,45.0,14791.0,1,15550.0
2025-03,967621232,0,0.0,0.0,5,175105.0
2025-03,975934905,1,28.0,52600.0,0,0.0
2025-03,985032210,0,0.0,0.0,1,19646.0
2025-03,985122721,4,181.0,81721.0,2,39719.0
2025-03,985165859,12,630.0,250309.0,12,240044.0
2025-03,985186122,1,23.0,20230.0,0,0.0
2025-03,985189781,9,380.0,156791.0,2,34899.0
2025-03,985312532,2,88.0,68000.0,1,40000.0
2025-03,985374535,3,128.0,2009.0,0,0.0
2025-03,985384136,1,52.0,34459.0,0,0.0
2025-03,986666355,3,111.0,128526.0,0,0.0
2025-03,986693525,1,34.0,38800.0,0,0.0
2025-03,986771159,1,59.0,17010.0,0,0.0
2025-03,999667986,8,414.0,113412.0,0,0.0
2025-04,1007969678,1,50.0,14000.0,0,0.0
2025-04,1064626945,0,0.0,0.0,1,15300.0
2025-04,1064989520,0,0.0,0.0,1,15300.0
2025-04,1079018891,0,0.0,0.0,1,14063.0
2025-04,1083286259,0,0.0,0.0,5,69205.0
2025-04,1083302078,0,0.0,0.0,1,21167.0
2025-04,1090789726,0,0.0,0.0,3,19400.0
2025-04,1091369491,1,49.0,7032.0,1,5200.0
2025-04,1232919540,0,0.0,0.0,1,5051.0
2025-04,1255409796,1,46.0,7355.0,0,0.0
2025-04,1266364538,0,0.0,0.0,1,14579.0
2025-04,1577323801,0,0.0,0.0,4,58068.0
2025-04,1606602149,0,0.0,0.0,4,81512.0
2025-04,1619227946,1,52.0,46000.0,0,0.0
2025-04,1720555710,1,56.0,6615.0,0,0.0
2025-04,1756622317,0,0.0,0.0,1,38772.0
2025-04,955086816,0,0.0,0.0,3,60600.0
2025-04,965922030,0,0.0,0.0,2,30600.0
2025-04,967621232,0,0.0,0.0,4,136314.0
2025-04,985032210,0,0.0,0.0,4,79894.0
2025-04,985122721,0,0.0,0.0,5,100496.0
2025-04,985165859,1,55.0,21000.0,9,186158.0
2025-04,985186122,0,0.0,0.0,1,21099.0
2025-04,985189781,0,0.0,0.0,2,36198.0
2025-04,985312532,0,0.0,0.0,3,109592.0
2025-04,985374535,1,41.0,713.0,0,0.0
2025-04,986666355,1,33.0,46000.0,0,0.0
2025-04,999667986,1,59.0,14175.0,1,15000.0
2025-05,1007969678,0,0.0,0.0,1,14400.0
2025-05,1064626945,0,0.0,0.0,3,46100.0
2025-05,1091369491,0,0.0,0.0,2,12497.0
2025-05,1159876183,0,0.0,0.0,1,5014.0
2025-05,1232915937,0,0.0,0.0,1,6142.0
2025-05,1232919540,0,0.0,0.0,2,12642.0
2025-05,1255409796,0,0.0,0.0,1,7683.0
2025-05,1338292056,0,0.0,0.0,6,161315.0
2025-05,1388975716,0,0.0,0.0,1,9213.0
2025-05,1577323801,0,0.0,0.0,1,15300.0
2025-05,1606602149,0,0.0,0.0,2,42700.0
2025-05,955086816,0,0.0,0.0,8,162386.0
2025-05,965922030,0,0.0,0.0,1,15300.0
2025-05,967621232,0,0.0,0.0,3,99514.0
2025-05,985032210,0,0.0,0.0,2,39208.0
2025-05,985122721,0,0.0,0.0,4,80083.0
2025-05,985165859,0,0.0,0.0,6,127379.0
2025-05,985189781,0,0.0,0.0,5,90133.0
2025-05,985312532,0,0.0,0.0,2,74895.0
2025-06,1064626945,0,0.0,0.0,1,17800.0
2025-06,1064989520,0,0.0,0.0,2,35600.0
2025-06,1083286259,0,0.0,0.0,1,17500.0
2025-06,1090789726,0,0.0,0.0,3,20900.0
2025-06,1233002951,0,0.0,0.0,1,7499.0
2025-06,1255409796,0,0.0,0.0,1,8291.0
2025-06,1266364538,0,0.0,0.0,1,15696.0
2025-06,1338292056,0,0.0,0.0,1,27800.0
2025-06,1359397672,0,0.0,0.0,1,7044.0
2025-06,1363993554,0,0.0,0.0,1,9146.0
2025-06,1418098260,0,0.0,0.0,1,40000.0
2025-06,1442316061,0,0.0,0.0,2,33975.0
2025-06,1577323801,0,0.0,0.0,1,17800.0
2025-06,1606602149,0,0.0,0.0,1,24100.0
2025-06,1720555710,0,0.0,0.0,1,6597.0
2025-06,955086816,0,0.0,0.0,10,233608.0
2025-06,965922030,0,0.0,0.0,1,14791.0
2025-06,967621232,0,0.0,0.0,2,83000.0
2025-06,985122721,0,0.0,0.0,8,185399.0
2025-06,985165859,0,0.0,0.0,8,186766.0
2025-06,985189781,0,0.0,0.0,2,39899.0
2025-07,1064989520,0,0.0,0.0,1,16821.0
2025-07,1090789726,0,0.0,0.0,1,7700.0
2025-07,1325921922,0,0.0,0.0,1,25505.0
2025-07,1338292056,0,0.0,0.0,1,26410.0
2025-07,1577323801,0,0.0,0.0,1,17800.0
2025-07,1606602149,0,0.0,0.0,1,23152.0
2025-07,955086816,0,0.0,0.0,3,67800.0
2025-07,965922030,0,0.0,0.0,1,17600.0
2025-07,967621232,0,0.0,0.0,3,120000.0
2025-07,985122721,0,0.0,0.0,3,69344.0
2025-07,985165859,0,0.0,0.0,7,165700.0
2025-07,999667986,0,0.0,0.0,2,34000.0
