sku,period,forecast_qty,planned_inbound,net_qty,avg_net_price,unit_cost,forecast_revenue,forecast_cost,forecast_margin,forecast_margin_pct,recommended,score,recommendation_reason,recommended_action
1007969678,2025-05,3.9999998200805633,0.0,0.0,9728.619047619048,10741.889523809525,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1007969678,2025-06,4.599999766007167,0.0,0.0,9728.619047619048,10741.889523809525,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1007969678,2025-07,5.199999711933771,0.0,0.0,9728.619047619048,10741.889523809525,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1064626945,2025-05,0.0,0.0,0.0,7526.75,10773.413333333334,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1064626945,2025-06,0.0,0.0,0.0,7526.75,10773.413333333334,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1064626945,2025-07,0.0,0.0,0.0,7526.75,10773.413333333334,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1064989520,2025-05,0.0,0.0,0.0,10509.8,10755.336,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1064989520,2025-06,0.0,0.0,0.0,10509.8,10755.336,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1064989520,2025-07,0.0,0.0,0.0,10509.8,10755.336,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1079018891,2025-05,0.0,0.0,0.0,2269.0,10161.586666666666,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1079018891,2025-06,0.0,0.0,0.0,2269.0,10161.586666666666,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1079018891,2025-07,0.0,0.0,0.0,2269.0,10161.586666666666,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1083302078,2025-05,0.0,0.0,0.0,12672.0,3252.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1083302078,2025-06,0.0,0.0,0.0,12672.0,3252.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1083302078,2025-07,0.0,0.0,0.0,12672.0,3252.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1087599272,2025-05,0.0,0.0,0.0,4849.333333333333,5797.843333333333,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1087599272,2025-06,0.0,0.0,0.0,4849.333333333333,5797.843333333333,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1087599272,2025-07,0.0,0.0,0.0,4849.333333333333,5797.843333333333,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1090789726,2025-05,0.0,0.0,0.0,4396.858974358975,4741.104390243902,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1090789726,2025-06,0.0,0.0,0.0,4396.858974358975,4741.104390243902,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1090789726,2025-07,0.0,0.0,0.0,4396.858974358975,4741.104390243902,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1091369491,2025-05,1.9999999552965109,0.0,0.0,4478.595588235294,13346.885142857142,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1091369491,2025-06,2.9999999403953463,0.0,0.0,4478.595588235294,13346.885142857142,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1091369491,2025-07,3.9999999254941816,0.0,0.0,4478.595588235294,13346.885142857142,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1159876183,2025-05,0.0,0.0,0.0,4677.5,4621.666666666666,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1159876183,2025-06,0.0,0.0,0.0,4677.5,4621.666666666666,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1159876183,2025-07,0.0,0.0,0.0,4677.5,4621.666666666666,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1232870909,2025-05,0.0,0.0,0.0,0.0,4846.7,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая доля промо; низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1232870909,2025-06,0.0,0.0,0.0,0.0,4846.7,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая доля промо; низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1232870909,2025-07,0.0,0.0,0.0,0.0,4846.7,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая доля промо; низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1232915937,2025-05,0.0,0.0,0.0,6444.0,4937.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат,Не запускать (убыточно)
1232915937,2025-06,0.0,0.0,0.0,6444.0,4937.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат,Не запускать (убыточно)
1232915937,2025-07,0.0,0.0,0.0,6444.0,4937.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат,Не запускать (убыточно)
1232919540,2025-05,0.9999978022186862,0.0,0.0,5829.0,5406.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат,Не запускать (убыточно)
1232919540,2025-06,0.0,0.0,0.0,5829.0,5406.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат,Не запускать (убыточно)
1232919540,2025-07,0.0,0.0,0.0,5829.0,5406.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат,Не запускать (убыточно)
1232966550,2025-05,1.5585921353811205e-06,0.0,0.0,4568.0,1159.12,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1232966550,2025-06,0.0,0.0,0.0,4568.0,1159.12,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1232966550,2025-07,0.0,0.0,0.0,4568.0,1159.12,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233002951,2025-05,0.0,0.0,0.0,4507.25,1093.05,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233002951,2025-06,0.0,0.0,0.0,4507.25,1093.05,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233002951,2025-07,0.0,0.0,0.0,4507.25,1093.05,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233012563,2025-05,0.4999997685190659,0.0,0.0,4662.0,5780.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233012563,2025-06,0.3999998205656719,0.0,0.0,4662.0,5780.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233012563,2025-07,0.2999998726122779,0.0,0.0,4662.0,5780.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233015711,2025-05,0.0,0.0,0.0,4305.555555555556,5739.724,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233015711,2025-06,0.0,0.0,0.0,4305.555555555556,5739.724,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1233015711,2025-07,0.0,0.0,0.0,4305.555555555556,5739.724,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1255409796,2025-05,0.0,0.0,0.0,4856.133333333333,5291.19294117647,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1255409796,2025-06,0.0,0.0,0.0,4856.133333333333,5291.19294117647,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1255409796,2025-07,0.0,0.0,0.0,4856.133333333333,5291.19294117647,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1266364538,2025-05,1.9999994751383938,0.0,0.0,10599.75,13146.46,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1266364538,2025-06,1.59999915366206,0.0,0.0,10599.75,13146.46,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1266364538,2025-07,1.1999988321857262,0.0,0.0,10599.75,13146.46,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1338292056,2025-05,0.0,0.0,0.0,16604.043478260868,3991.0869565217395,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1338292056,2025-06,0.0,0.0,0.0,16604.043478260868,3991.0869565217395,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1338292056,2025-07,0.0,0.0,0.0,16604.043478260868,3991.0869565217395,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1351965762,2025-05,0.0,0.0,0.0,11074.5,2800.25,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1351965762,2025-06,0.0,0.0,0.0,11074.5,2800.25,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1351965762,2025-07,0.0,0.0,0.0,11074.5,2800.25,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1359397672,2025-05,0.0,0.0,0.0,4417.705882352941,5129.094117647059,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1359397672,2025-06,0.0,0.0,0.0,4417.705882352941,5129.094117647059,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1359397672,2025-07,0.0,0.0,0.0,4417.705882352941,5129.094117647059,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1403051903,2025-05,0.0,0.0,0.0,16506.0,3830.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1403051903,2025-06,0.0,0.0,0.0,16506.0,3830.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1403051903,2025-07,0.0,0.0,0.0,16506.0,3830.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1418098260,2025-05,0.0,0.0,0.0,19958.5,4494.18,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1418098260,2025-06,0.0,0.0,0.0,19958.5,4494.18,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1418098260,2025-07,0.0,0.0,0.0,19958.5,4494.18,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1442316061,2025-05,0.0,0.0,0.0,8177.0,2109.1400000000003,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1442316061,2025-06,0.0,0.0,0.0,8177.0,2109.1400000000003,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1442316061,2025-07,0.0,0.0,0.0,8177.0,2109.1400000000003,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1577323801,2025-05,0.0,0.0,0.0,9022.35294117647,10699.433333333334,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1577323801,2025-06,0.0,0.0,0.0,9022.35294117647,10699.433333333334,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1577323801,2025-07,0.0,0.0,0.0,9022.35294117647,10699.433333333334,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1606602149,2025-05,0.0,0.0,0.0,12368.5,16630.692000000003,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1606602149,2025-06,0.0,0.0,0.0,12368.5,16630.692000000003,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1606602149,2025-07,0.0,0.0,0.0,12368.5,16630.692000000003,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
1619464475,2025-05,0.0,0.0,0.0,32788.666666666664,7691.333333333333,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1619464475,2025-06,0.0,0.0,0.0,32788.666666666664,7691.333333333333,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
1619464475,2025-07,0.0,0.0,0.0,32788.666666666664,7691.333333333333,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
955086816,2025-05,0.0,0.0,0.0,13609.065217391304,17184.2093877551,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
955086816,2025-06,0.0,0.0,0.0,13609.065217391304,17184.2093877551,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
955086816,2025-07,0.0,0.0,0.0,13609.065217391304,17184.2093877551,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
965922030,2025-05,0.0,0.0,0.0,9093.272727272728,10374.036363636365,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
965922030,2025-06,0.0,0.0,0.0,9093.272727272728,10374.036363636365,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
965922030,2025-07,0.0,0.0,0.0,9093.272727272728,10374.036363636365,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
967621232,2025-05,0.0,0.0,0.0,24836.941176470587,23889.930588235293,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
967621232,2025-06,0.0,0.0,0.0,24836.941176470587,23889.930588235293,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
967621232,2025-07,0.0,0.0,0.0,24836.941176470587,23889.930588235293,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
975934905,2025-05,0.0,0.0,0.0,31127.5,7596.28,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
975934905,2025-06,0.0,0.0,0.0,31127.5,7596.28,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
975934905,2025-07,0.0,0.0,0.0,31127.5,7596.28,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985032210,2025-05,2.534407776644265e-06,0.0,0.0,14006.153846153846,17281.166153846156,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985032210,2025-06,0.0,0.0,0.0,14006.153846153846,17281.166153846156,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985032210,2025-07,0.0,0.0,0.0,14006.153846153846,17281.166153846156,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985122721,2025-05,0.0,0.0,0.0,13930.695652173914,16688.568,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985122721,2025-06,0.0,0.0,0.0,13930.695652173914,16688.568,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985122721,2025-07,0.0,0.0,0.0,13930.695652173914,16688.568,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985165859,2025-05,3.5000002084475703,0.0,0.0,14527.052631578947,17394.412,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985165859,2025-06,2.0000002102822063,0.0,0.0,14527.052631578947,17394.412,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985165859,2025-07,0.5000002121168423,0.0,0.0,14527.052631578947,17394.412,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985186122,2025-05,0.0,0.0,0.0,14623.791333333333,17415.021333333334,0.0,0.0,0.0,0.0,Нет,4.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985186122,2025-06,0.0,0.0,0.0,14623.791333333333,17415.021333333334,0.0,0.0,0.0,0.0,Нет,4.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985186122,2025-07,0.0,0.0,0.0,14623.791333333333,17415.021333333334,0.0,0.0,0.0,0.0,Нет,4.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985189781,2025-05,0.0,0.0,0.0,10246.121212121212,14492.521176470587,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985189781,2025-06,0.0,0.0,0.0,10246.121212121212,14492.521176470587,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985189781,2025-07,0.0,0.0,0.0,10246.121212121212,14492.521176470587,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985312532,2025-05,0.0,0.0,0.0,22769.125,23740.632222222222,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985312532,2025-06,0.0,0.0,0.0,22769.125,23740.632222222222,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985312532,2025-07,0.0,0.0,0.0,22769.125,23740.632222222222,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985384136,2025-05,0.0,0.0,0.0,24144.0,27485.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985384136,2025-06,0.0,0.0,0.0,24144.0,27485.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
985384136,2025-07,0.0,0.0,0.0,24144.0,27485.0,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
986638247,2025-05,0.0,0.0,0.0,29640.0,7251.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
986638247,2025-06,0.0,0.0,0.0,29640.0,7251.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
986638247,2025-07,0.0,0.0,0.0,29640.0,7251.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
986670006,2025-05,0.0,0.0,0.0,16619.0,26943.760000000002,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
986670006,2025-06,0.0,0.0,0.0,16619.0,26943.760000000002,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
986670006,2025-07,0.0,0.0,0.0,16619.0,26943.760000000002,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокий возврат; низкая маржа и высокая комиссия,Не запускать (убыточно)
986693525,2025-05,0.0,0.0,0.0,26121.0,6409.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
986693525,2025-06,0.0,0.0,0.0,26121.0,6409.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
986693525,2025-07,0.0,0.0,0.0,26121.0,6409.5,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
999667986,2025-05,4.000000736434914,0.0,0.0,10089.933333333332,12735.202000000001,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
999667986,2025-06,4.100000183770132,0.0,0.0,10089.933333333332,12735.202000000001,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
999667986,2025-07,4.199999631105351,0.0,0.0,10089.933333333332,12735.202000000001,0.0,0.0,0.0,0.0,Нет,0.0,низкая маржа и высокая комиссия,Не запускать (убыточно)
